mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.33 	-0.18 	0.66 	19.92 	-1.17 	-2.93 	356.63 	357.00 	23.67 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.26 	-0.02 	0.40 	20.51 	-0.88 	-2.93 	357.55 	357.89 	23.67 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.43 	0.23 	0.82 	19.92 	-1.17 	-2.64 	356.63 	356.96 	23.67 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.31 	0.05 	0.26 	20.21 	-0.29 	-2.93 	359.17 	359.52 	23.66 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.25 	-0.29 	0.50 	20.80 	-0.29 	-2.34 	359.19 	359.45 	23.66 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.35 	-0.15 	0.72 	20.21 	-1.17 	-2.64 	356.68 	357.00 	23.65 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	-0.23 	0.02 	0.80 	19.92 	-0.59 	-3.22 	358.32 	358.73 	23.65 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.31 	0.10 	0.52 	20.21 	-0.29 	-2.64 	359.17 	359.46 	23.65 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.34 	-0.02 	0.89 	20.51 	-0.88 	-2.05 	357.55 	357.77 	23.64 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.37 	-0.06 	0.79 	20.51 	-1.46 	-2.34 	355.91 	356.18 	23.64 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.29 	0.08 	0.71 	19.92 	-0.88 	-2.34 	357.47 	357.74 	23.64 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.19 	-0.16 	0.34 	19.92 	-1.17 	-2.64 	356.63 	356.97 	23.63 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.43 	-0.10 	0.69 	19.92 	-0.59 	-2.34 	358.32 	358.56 	23.63 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.52 	0.25 	0.63 	20.51 	-0.88 	-2.64 	357.55 	357.88 	23.63 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.56 	-0.24 	0.61 	20.80 	-1.17 	-2.64 	356.78 	357.07 	23.62 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.37 	0.14 	0.56 	20.51 	-0.88 	-2.34 	357.55 	357.80 	23.62 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.23 	0.07 	0.60 	19.92 	-1.17 	-2.93 	356.63 	357.00 	23.62 	101558.00 	1.00 	-19.38 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.31 	-0.06 	0.49 	20.21 	-1.46 	-3.22 	355.86 	356.24 	23.62 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.43 	0.14 	0.62 	20.51 	-0.29 	-2.64 	359.18 	359.48 	23.63 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.36 	-0.05 	0.58 	20.80 	-0.88 	-2.64 	357.58 	357.87 	23.62 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.25 	-0.14 	0.76 	20.21 	-1.17 	-2.64 	356.68 	357.00 	23.61 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.37 	-0.13 	0.89 	20.80 	-0.59 	-2.64 	358.39 	358.70 	23.61 	101559.00 	1.00 	-19.46 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.45 	-0.02 	0.80 	20.51 	-0.88 	-3.22 	357.55 	357.94 	23.61 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	0.34 	0.00 	0.42 	20.51 	-0.88 	-2.64 	357.55 	357.86 	23.62 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.27 	-0.28 	0.66 	20.80 	-0.29 	-2.93 	359.19 	359.49 	23.61 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.33 	-0.21 	0.82 	20.80 	-0.88 	-1.76 	357.58 	357.74 	23.60 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.11 	0.18 	0.23 	20.21 	-1.17 	-2.64 	356.68 	356.99 	23.60 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.27 	-0.05 	0.59 	20.51 	-1.17 	-2.34 	356.73 	356.99 	23.62 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.31 	-0.06 	0.45 	20.80 	-0.88 	-2.93 	357.58 	357.89 	23.61 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	0.29 	-0.03 	0.49 	20.51 	-1.17 	-2.64 	356.73 	357.02 	23.62 	101566.00 	1.00 	-20.04 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.45 	0.04 	0.54 	20.21 	-0.88 	-3.22 	357.51 	357.88 	23.61 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.11 	-0.08 	0.57 	20.51 	-0.88 	-2.64 	357.55 	357.82 	23.61 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.05 	-0.30 	0.77 	20.21 	-0.29 	-2.93 	359.17 	359.49 	23.60 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.13 	-0.30 	0.42 	20.51 	-0.88 	-2.93 	357.55 	357.88 	23.61 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.17 	0.25 	0.91 	20.21 	-0.29 	-2.34 	359.17 	359.41 	23.60 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.23 	-0.22 	0.64 	20.51 	-0.59 	-2.64 	358.36 	358.63 	23.60 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.24 	-0.11 	0.81 	20.21 	-0.88 	-3.22 	357.51 	357.88 	23.61 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.25 	-0.08 	0.40 	20.21 	-0.59 	-2.34 	358.34 	358.57 	23.61 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.33 	-0.07 	0.24 	19.92 	-0.88 	-2.64 	357.47 	357.76 	23.61 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.16 	0.01 	0.37 	20.21 	-0.29 	-3.52 	359.17 	359.55 	23.60 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.43 	-0.22 	0.69 	20.21 	-0.88 	-2.93 	357.51 	357.84 	23.60 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.18 	-0.19 	0.60 	20.51 	-1.17 	-2.34 	356.73 	356.97 	23.61 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	0.31 	0.06 	0.53 	20.21 	-0.88 	-3.22 	357.51 	357.86 	23.60 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.37 	-0.19 	0.80 	20.21 	-0.59 	-3.22 	358.34 	358.69 	23.60 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.11 	-0.28 	0.70 	20.51 	-0.88 	-3.22 	357.55 	357.90 	23.59 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.31 	0.00 	0.69 	20.51 	-0.59 	-3.22 	358.36 	358.72 	23.59 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.23 	-0.31 	0.69 	19.92 	-0.59 	-2.93 	358.32 	358.62 	23.59 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.14 	0.25 	-0.07 	0.82 	20.51 	-1.17 	-2.64 	356.73 	356.99 	23.59 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.47 	0.10 	0.76 	20.51 	-0.59 	-3.22 	358.36 	358.74 	23.60 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.02 	0.08 	0.89 	19.92 	-0.88 	-3.22 	357.47 	357.85 	23.59 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.46 	0.11 	0.59 	20.21 	-0.59 	-2.64 	358.34 	358.63 	23.60 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	0.26 	0.23 	0.34 	20.21 	-0.88 	-3.52 	357.51 	357.90 	23.59 	101564.00 	1.00 	-19.88 	
